,,ESTADO DE RESULTADOS — DONNELY LTDA.,,,,,,,,,,,,,
Enero a Julio 2026  ·  CLP netos  ·  100% fórmulas vinculadas  ·  Compatible Google Sheets,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Enero,,Febrero,,Marzo,,Abril,,Mayo,,Junio,,Julio,
,Concepto,CLP,%,CLP,%,CLP,%,CLP,%,CLP,%,CLP,%,CLP,%
,VENTAS NETAS,"101,743,519",100.0%,"138,837,706",100.0%,"86,392,002",100.0%,"343,784,042",100.0%,"477,588,476",100.0%,"360,244,468",100.0%,"172,613,397",100.0%
,COSTO DE VENTAS TOTAL,"49,960,401",49.1%,"32,866,023",23.7%,"90,704,768",105.0%,"172,049,817",50.0%,"76,850,763",16.1%,"56,852,864",15.8%,"64,808,810",15.8%
,TOTAL GASTOS DE ADMINISTRACIÓN,"37,058,242",36.4%,"31,314,950",22.6%,"37,575,057",43.5%,"35,406,205",10.3%,"40,203,683",8.4%,"33,601,614",9.3%,"30,409,241",9.3%
,TOTAL GASTOS DE VENTAS,"8,616,512",8.5%,"3,802,215",2.7%,"4,785,877",5.5%,"6,481,501",1.9%,"8,492,992",1.8%,"14,324,132",4.0%,"4,121,251",4.0%
,(-) Gastos financieros (factoring, intereses),"196,946",44.9%,"250,499",25.3%,"207,857",49.0%,"272,065",12.2%,"197,014",10.2%,"384,408",13.3%,"278,521",13.3%
,(+/-) Diferencias de cambio (ver hoja Config),"(54,884)",0.0%,"210,397",0.0%,"126,142",0.0%,"682,384",0.0%,"1,192,557",0.0%,"505,608",0.0%,0,0.0%
,(-) Depreciación de activos fijos,"547,302",6.0%,"18,980",51.0%,"56,105",-54.0%,"7,424",37.8%,"27,230",73.7%,"2,113",70.9%,0,70.9%
,(-) Impuesto a la Renta estimado (PPM 12.5%),"663,654",0.7%,"8,849,429",6.4%,0,0.0%,"16,281,177",4.7%,"44,126,169",9.2%,"31,948,118",8.9%,"9,124,447",8.9%
